# 开心输入法 8105 个常用单字词库
# 频率顺序：wordfreq 3.1.1 中文词频；仅保留拼音引擎支持的汉字。
# 权重：按词频名次线性映射到 10000..1，严格降序。
# 格式：汉字<TAB>权重；拼音由引擎自动生成，以保留多音字全部读音。
恋	8416
患	8415
扫	8414
槽	8413
殿	8411
虫	8410
虾	8409
赖	8408
迷	8406
遍	8405
仪	8404
剪	8403
奶	8401
宣	8400
康	8399
忍	8398
攻	8397
汗	8395
灰	8394
爸	8393
瘦	8392
纹	8390
败	8389
赔	8388
迪	8387
钩	8385
伙	8384
友	8383
唯	8382
奴	8380
拒	8379
晕	8378
矿	8377
稿	8376
翘	8374
脉	8373
腰	8372
芙	8371
衣	8369
速	8368
钉	8367
锅	8366
阴	8364
阶	8363
雄	8362
刮	8361
咱	8359
填	8358
妻	8357
执	8356
授	8355
斩	8353
朗	8352
杰	8351
武	8350
氏	8348
猛	8347
玛	8346
纪	8345
蒋	8343
赐	8342
酷	8341
针	8340
饼	8339
侠	8337
割	8336
劳	8335
吊	8334
吵	8332
智	8331
毕	8330
永	8329
泛	8327
浅	8326
穴	8325
邓	8324
阁	8322
骨	8321
卢	8320
徐	8319
惊	8318
沪	8316
聚	8315
蒂	8314
邻	8313
酱	8311
锦	8310
镜	8309
伦	8308
坦	8306
妹	8305
嫩	8304
屁	8303
捉	8302
澳	8300
盾	8299
诚	8298
辑	8297
龟	8295
仔	8294
医	8293
呜	8292
唔	8290
孔	8289
屎	8288
御	8287
抛	8285
碗	8284
箱	8283
耳	8282
迎	8281
郎	8279
券	8278
奉	8277
妖	8276
婚	8274
怀	8273
怒	8272
敲	8271
杂	8269
滑	8268
犬	8267
玉	8266
竞	8264
野	8263
霍	8262
饰	8261
兑	8260
奔	8258
嫌	8257
帕	8256
律	8255
抬	8253
握	8252
磅	8251
秋	8250
突	8248
绘	8247
胆	8246
赤	8245
铜	8244
伴	8242
凑	8241
姐	8240
宅	8239
扇	8237
模	8236
涂	8235
琴	8234
膜	8232
谓	8231
责	8230
韦	8229
债	8227
坪	8226
域	8225
寮	8224
担	8223
泪	8221
童	8220
糟	8219
织	8218
荷	8216
误	8215
邪	8214
释	8213
闲	8211
弃	8210
技	8209
栋	8208
桑	8207
碎	8205
脏	8204
臀	8203
贱	8202
赏	8200
避	8199
预	8198
鸿	8197
串	8195
休	8194
促	8193
健	8192
凉	8190
刻	8189
咯	8188
堵	8187
扬	8186
摩	8184
朕	8183
材	8182
残	8181
泥	8179
泽	8178
甩	8177
盒	8176
矮	8174
竹	8173
粘	8172
舍	8171
莎	8169
警	8168
谜	8167
账	8166
贺	8165
辣	8163
镑	8162
顾	8161
凶	8160
呵	8158
呼	8157
坊	8156
寻	8155
岂	8153
庆	8152
戳	8151
抄	8150
挥	8149
洋	8147
滴	8146
炼	8145
秦	8144
肖	8142
胃	8141
讨	8140
趋	8139
辩	8137
饮	8136
仓	8135
典	8134
冠	8132
吞	8131
嘉	8130
宾	8129
彭	8128
拔	8126
捏	8125
桶	8124
牢	8123
蹲	8121
迈	8120
际	8119
饱	8118
魏	8116
删	8115
勇	8114
呐	8113
垫	8111
岩	8110
懒	8109
捧	8108
敬	8107
沾	8105
翼	8104
茨	8103
荡	8102
袋	8100
贷	8099
返	8098
闯	8097
乙	8095
伞	8094
倾	8093
兔	8092
妃	8091
姬	8089
娃	8088
役	8087
扒	8086
捞	8084
摘	8083
景	8082
牠	8081
缠	8079
耍	8078
勿	8077
启	8076
呃	8074
寨	8073
崔	8072
戒	8071
润	8070
甘	8068
盼	8067
良	8066
井	8065
尊	8063
弦	8062
惠	8061
披	8060
掌	8058
晋	8057
烫	8056
瞒	8055
窗	8054
筑	8052
粤	8051
赫	8050
辛	8049
仁	8047
协	8046
呗	8045
哲	8044
坡	8042
幕	8041
忠	8040
拳	8039
捐	8037
揉	8036
斤	8035
梨	8034
浓	8033
涌	8031
町	8030
筹	8029
纽	8028
舱	8026
荣	8025
蠢	8024
训	8023
辽	8021
闽	8020
隆	8019
静	8018
驴	8016
夸	8015
奏	8014
恤	8013
扩	8012
挨	8010
携	8009
杆	8008
浪	8007
添	8005
漏	8004
疑	8003
缩	8002
臣	8000
辞	7999
饶	7998
鼓	7997
乎	7996
亭	7994
叉	7993
吕	7992
呦	7991
奈	7989
妮	7988
宜	7987
屏	7986
扁	7984
检	7983
笨	7982
紫	7981
述	7979
颈	7978
仇	7977
冯	7976
凯	7975
嘿	7973
弯	7972
息	7971
池	7970
砖	7968
策	7967
袁	7966
袭	7965
逆	7963
驾	7962
鹿	7961
介	7960
企	7959
候	7957
哄	7956
哩	7955
喵	7954
妇	7952
姜	7951
尖	7950
帖	7949
摇	7947
柱	7946
横	7945
津	7944
涉	7942
熬	7941
牵	7940
矣	7939
磨	7938
罩	7936
艳	7935
蕾	7934
豪	7933
踪	7931
震	7930
鲸	7929
仙	7928
侵	7926
催	7925
押	7924
溜	7923
炉	7921
瑞	7920
瓜	7919
皇	7918
绳	7917
缝	7915
逛	7914
阵	7913
伏	7912
俱	7910
匹	7909
叙	7908
尝	7907
尸	7905
岸	7904
抵	7903
损	7902
染	7901
柯	7899
柳	7898
沈	7897
渡	7896
瑜	7894
申	7893
研	7892
肾	7891
腔	7889
贪	7888
轴	7887
销	7886
雇	7884
丰	7883
丸	7882
予	7881
亡	7880
刑	7878
咦	7877
咪	7876
寸	7875
屌	7873
岗	7872
恐	7871
戈	7870
捅	7868
液	7867
盛	7866
纲	7865
葬	7863
迹	7862
适	7861
鳄	7860
否	7859
斜	7857
歪	7856
罐	7855
耐	7854
贫	7852
鉴	7851
铅	7850
霾	7849
鹰	7847
兆	7846
察	7845
构	7844
氧	7843
沟	7841
激	7840
痴	7839
罢	7838
菌	7836
豆	7835
赣	7834
餐	7833
黎	7831
劫	7830
栏	7829
框	7828
潜	7826
碧	7825
示	7824
箭	7823
萧	7822
蜀	7820
裙	7819
裤	7818
赠	7817
隐	7815
乳	7814
侯	7813
努	7812
吼	7810
坚	7809
徒	7808
拾	7807
揭	7806
珊	7804
痒	7803
督	7802
纵	7801
肺	7799
虚	7798
诶	7797
谭	7796
陷	7794
颜	7793
麻	7792
鼻	7791
齿	7789
伸	7788
厄	7787
召	7786
坟	7785
岳	7783
弟	7782
揍	7781
撕	7780
斑	7778
旨	7777
晃	7776
晴	7775
柄	7773
桩	7772
泉	7771
煎	7770
祸	7768
穆	7767
葛	7766
诉	7765
邮	7764
铝	7762
冬	7761
卜	7760
哆	7759
唇	7757
坎	7756
巧	7755
序	7754
延	7752
拥	7751
淡	7750
珍	7749
窥	7748
贡	7746
辅	7745
递	7744
逗	7743
鄂	7741
鲜	7740
咸	7739
妞	7738
帽	7736
掷	7735
棉	7734
棋	7733
汀	7731
洪	7730
浩	7729
溪	7728
粥	7727
逢	7725
鲨	7724
幸	7723
拽	7722
捕	7720
札	7719
氢	7718
碟	7717
缓	7715
翁	7714
育	7713
董	7712
逊	7711
酶	7709
鲍	7708
仗	7707
宠	7706
庭	7704
恢	7703
慌	7702
狱	7701
瑟	7699
腊	7698
诛	7697
遗	7696
伐	7694
佐	7693
佣	7692
偶	7691
况	7690
售	7688
妆	7687
孝	7686
孟	7685
幼	7683
扮	7682
旺	7681
柜	7680
沃	7678
潘	7677
缅	7676
肝	7675
触	7673
辈	7672
闷	7671
频	7670
允	7669
叔	7667
嚼	7666
固	7665
壁	7664
巡	7662
憋	7661
朴	7660
桌	7659
欢	7657
歇	7656
犹	7655
盟	7654
粒	7653
绣	7651
菊	7650
蟹	7649
诀	7648
趟	7646
雕	7645
鼠	7644
享	7643
恕	7641
棱	7640
渔	7639
漆	7638
焦	7636
疏	7635
符	7634
粪	7633
缴	7632
肿	7630
舌	7629
踏	7628
违	7627
钙	7625
丘	7624
佩	7623
俊	7622
兄	7620
函	7619
墨	7618
妙	7617
寿	7615
尺	7614
廊	7613
忧	7612
扛	7611
择	7609
摊	7608
束	7607
猴	7606
络	7604
艇	7603
誉	7602
辨	7601
铀	7599
锤	7598
默	7597
乖	7596
仿	7595
佑	7593
佬	7592
冻	7591
啰	7590
坛	7588
垒	7587
宰	7586
弓	7585
径	7583
惯	7582
械	7581
汪	7580
灌	7578
烈	7577
牧	7576
畜	7575
祖	7574
航	7572
莉	7571
遮	7570
铲	7569
验	7567
冈	7566
喘	7565
嘎	7564
恰	7562
撰	7561
朵	7560
杭	7559
涩	7558
渣	7556
爪	7555
爷	7554
珠	7553
碍	7551
窄	7550
胶	7549
蚁	7548
蛤	7546
裁	7545
裹	7544
飘	7543
魂	7541
叹	7540
壶	7539
抖	7538
援	7537
搅	7535
毙	7534
汁	7533
污	7532
漫	7530
猎	7529
筒	7528
肌	7527
轨	7525
迫	7524
途	7523
钓	7522
革	7520
卿	7519
呛	7518
咏	7517
嘻	7516
坤	7514
壮	7513
屡	7512
廷	7511
杉	7509
株	7508
棍	7507
涅	7506
癌	7504
碑	7503
薛	7502
询	7501
镐	7500
鸠	7498
伍	7497
兜	7496
劈	7495
叠	7493
喽	7492
彼	7491
愁	7490
揪	7488
棵	7487
湘	7486
灾	7485
癖	7483
簿	7482
艹	7481
衰	7480
估	7479
冢	7477
勤	7476
哒	7475
娥	7474
扭	7472
捆	7471
搂	7470
敷	7469
斋	7467
琳	7466
糕	7465
薰	7464
虑	7463
贤	7461
剥	7460
咧	7459
抚	7458
掰	7456
泼	7455
淘	7454
琼	7453
砰	7451
肩	7450
舒	7449
芯	7448
茎	7446
贰	7445
赋	7444
酥	7443
醋	7442
钠	7440
阅	7439
阻	7438
陶	7437
储	7435
